division,AwayTeam,avg_AG,away_as,away_ds
G1,AEK,1.12727272727273,1.1,0.8
E2,"AFC Wimbledon",1.30833333333333,0.73,1.0
N1,"AZ Alkmaar",1.57638888888889,1.56,1.02
SC0,Aberdeen,1.22900763358779,0.8,0.53
E2,Accrington,1.30833333333333,1.3,0.9
SC2,"Airdrie Utd",1.1,1.41,1.09
F2,Ajaccio,1.06878306878307,0.62,1.09
N1,Ajax,1.57638888888889,2.29,0.38
T1,Alanyaspor,1.18888888888889,0.72,0.79
SP1,Alaves,1.10169491525424,0.76,1.19
SP2,Albacete,0.820175438596491,0.26,1.22
SC3,"Albion Rvs",1.51111111111111,0.85,2.22
SP2,Alcorcon,0.820175438596491,0.44,0.7
EC,Aldershot,1.29411764705882,0.98,0.91
SC1,Alloa,1.33333333333333,0.21,0.95
SP2,Almeria,0.820175438596491,1.13,0.78
EC,Altrincham,1.29411764705882,,
F2,Amiens,1.06878306878307,0.94,0.7
B1,Anderlecht,1.40555555555556,0.95,1.08
F1,Angers,1.32978723404255,1.11,1.25
T1,Ankaragucu,1.18888888888889,0.57,1.14
SC3,"Annan Athletic",1.51111111111111,0.57,0.57
T1,Antalyaspor,1.18888888888889,0.58,0.94
B1,Antwerp,1.40555555555556,1.01,1.08
G1,Apollon,1.12727272727273,0.8,0.7
SC1,Arbroath,1.33333333333333,0.21,1.16
G1,Aris,1.12727272727273,1.1,0.4
E0,Arsenal,1.39411764705882,0.9,0.65
I2,Ascoli,1.1377245508982,0.67,1.27
G1,"Asteras Tripolis",1.12727272727273,0.8,1.07
E0,"Aston Villa",1.39411764705882,1.28,0.46
I1,Atalanta,1.53254437869822,1.4,0.94
SP1,"Ath Bilbao",1.10169491525424,0.68,1.19
SP1,"Ath Madrid",1.10169491525424,1.09,0.44
G1,Atromitos,1.12727272727273,0.46,1.15
D1,Augsburg,1.51111111111111,0.7,0.7
F2,Auxerre,1.06878306878307,1.21,1.13
SC1,Ayr,1.33333333333333,0.96,1.23
SP1,Barcelona,1.10169491525424,1.36,0.59
EC,Barnet,1.29411764705882,0.79,2.27
E1,Barnsley,1.02214022140221,0.91,1.26
E3,Barrow,1.20233463035019,0.73,1.06
D1,"Bayern Munich",1.51111111111111,1.37,1.07
B1,"Beerschot VA",1.40555555555556,,
P1,Belenenses,1.14655172413793,0.13,0.39
I1,Benevento,1.53254437869822,0.86,0.94
P1,Benfica,1.14655172413793,1.69,0.78
T1,Besiktas,1.18888888888889,1.3,1.23
SP1,Betis,1.10169491525424,0.92,1.53
D1,Bielefeld,1.51111111111111,0.35,1.13
E1,Birmingham,1.02214022140221,0.69,0.61
E1,Blackburn,1.02214022140221,1.4,1.05
E2,Blackpool,1.30833333333333,0.6,0.87
P1,Boavista,1.14655172413793,0.89,1.11
D2,Bochum,1.31851851851852,0.97,0.88
I1,Bologna,1.53254437869822,0.49,0.97
E3,Bolton,1.20233463035019,1.0,1.19
F1,Bordeaux,1.32978723404255,0.77,1.01
EC,"Boreham Wood",1.29411764705882,0.98,0.53
E1,Bournemouth,1.02214022140221,1.19,0.7
E3,Bradford,1.20233463035019,0.73,1.02
D2,Braunschweig,1.31851851851852,,
SC3,Brechin,1.51111111111111,0.41,1.36
E1,Brentford,1.02214022140221,1.37,0.76
I2,Brescia,1.1377245508982,0.95,1.23
F1,Brest,1.32978723404255,0.77,1.39
E0,Brighton,1.39411764705882,0.9,1.14
E1,"Bristol City",1.02214022140221,0.99,1.07
E2,"Bristol Rvs",1.30833333333333,0.82,0.98
EC,Bromley,1.29411764705882,1.25,0.45
E0,Burnley,1.39411764705882,0.37,1.19
E2,Burton,1.30833333333333,0.73,1.41
T1,Buyuksehyr,1.18888888888889,0.72,1.23
SP1,Cadiz,1.10169491525424,0.68,0.93
F2,Caen,1.06878306878307,0.87,1.04
I1,Cagliari,1.53254437869822,0.76,1.25
E3,Cambridge,1.20233463035019,1.17,0.73
E1,Cardiff,1.02214022140221,0.84,0.84
E3,Carlisle,1.20233463035019,0.6,0.6
SP2,Cartagena,0.820175438596491,,
SP2,Castellon,0.820175438596491,,
SP1,Celta,1.10169491525424,0.68,1.02
SC0,Celtic,1.22900763358779,1.84,0.72
B1,"Cercle Brugge",1.40555555555556,0.63,0.95
F2,Chambly,1.06878306878307,,
B1,Charleroi,1.40555555555556,1.21,1.09
E2,Charlton,1.30833333333333,1.0,0.8
F2,Chateauroux,1.06878306878307,0.52,1.04
E0,Chelsea,1.39411764705882,1.19,0.92
E3,Cheltenham,1.20233463035019,0.95,0.66
EC,Chesterfield,1.29411764705882,0.97,1.07
I2,Chievo,1.1377245508982,0.95,0.66
I2,Cittadella,1.1377245508982,1.23,0.76
F2,Clermont,1.06878306878307,0.78,0.39
B1,"Club Brugge",1.40555555555556,1.52,0.38
SC2,Clyde,1.1,0.78,2.08
E3,Colchester,1.20233463035019,0.66,1.26
I2,Cosenza,1.1377245508982,0.66,0.47
SC2,"Cove Rangers",1.1,,
E1,Coventry,1.02214022140221,0.7,1.26
SC3,Cowdenbeath,1.51111111111111,0.51,1.36
E3,"Crawley Town",1.20233463035019,0.91,1.03
I2,Cremonese,1.1377245508982,0.66,0.95
E2,Crewe,1.30833333333333,0.81,1.03
I1,Crotone,1.53254437869822,0.55,1.66
E0,"Crystal Palace",1.39411764705882,0.9,1.14
EC,"Dag and Red",1.29411764705882,0.68,0.83
D2,Darmstadt,1.31851851851852,1.32,1.32
N1,"Den Haag",1.57638888888889,0.53,1.45
T1,Denizlispor,1.18888888888889,,
E1,Derby,1.02214022140221,0.69,0.76
F1,Dijon,1.32978723404255,0.7,1.24
E2,Doncaster,1.30833333333333,1.19,0.83
D1,Dortmund,1.51111111111111,1.15,0.69
EC,"Dover Athletic",1.29411764705882,0.17,1.87
SC2,Dumbarton,1.1,0.39,0.91
SC1,Dundee,1.33333333333333,1.05,1.47
SC0,"Dundee United",1.22900763358779,0.36,1.16
SC1,Dunfermline,1.33333333333333,1.05,0.74
F2,Dunkerque,1.06878306878307,,
SC2,"East Fife",1.1,0.39,1.76
EC,Eastleigh,1.29411764705882,1.36,0.97
SC3,"Edinburgh City",1.51111111111111,2.05,1.02
SP1,Eibar,1.10169491525424,0.93,0.85
D1,"Ein Frankfurt",1.51111111111111,1.07,1.07
SP1,Elche,1.10169491525424,0.65,0.87
SC3,Elgin,1.51111111111111,1.19,1.02
I2,Empoli,1.1377245508982,1.43,0.76
D2,"Erzgebirge Aue",1.31851851851852,0.77,0.85
T1,"Erzurum BB",1.18888888888889,0.65,1.37
SP2,Espanol,0.820175438596491,1.13,0.52
B1,Eupen,1.40555555555556,0.69,0.86
E0,Everton,1.39411764705882,1.06,0.73
E3,Exeter,1.20233463035019,1.46,1.3
N1,"FC Emmen",1.57638888888889,0.31,1.3
D1,"FC Koln",1.51111111111111,0.44,0.79
SC2,Falkirk,1.1,1.87,0.78
P1,Famalicao,1.14655172413793,,
P1,Farense,1.14655172413793,,
T1,Fenerbahce,1.18888888888889,1.52,0.58
N1,Feyenoord,1.57638888888889,1.45,0.53
I1,Fiorentina,1.53254437869822,0.7,1.17
E2,"Fleetwood Town",1.30833333333333,0.88,0.81
N1,"For Sittard",1.57638888888889,0.76,1.22
E3,"Forest Green",1.20233463035019,0.93,0.6
SC2,Forfar,1.1,0.31,0.94
D2,"Fortuna Dusseldorf",1.31851851851852,0.62,1.08
D1,Freiburg,1.51111111111111,0.87,1.05
I2,Frosinone,1.1377245508982,1.08,0.76
SP2,Fuenlabrada,0.820175438596491,,
E0,Fulham,1.39411764705882,0.73,1.1
T1,Galatasaray,1.18888888888889,1.3,0.73
T1,Gaziantep,1.18888888888889,,
T1,Genclerbirligi,1.18888888888889,,
B1,Genk,1.40555555555556,1.2,0.89
I1,Genoa,1.53254437869822,0.39,1.09
B1,Gent,1.40555555555556,0.75,0.86
SP1,Getafe,1.10169491525424,0.67,0.95
G1,Giannina,1.12727272727273,0.9,1.1
P1,"Gil Vicente",1.14655172413793,,
E2,Gillingham,1.30833333333333,0.95,0.95
SP2,Girona,0.820175438596491,0.71,0.95
T1,Goztep,1.18888888888889,0.49,0.73
SP1,Granada,1.10169491525424,0.48,1.53
F2,Grenoble,1.06878306878307,0.55,0.7
D2,"Greuther Furth",1.31851851851852,1.47,0.7
E3,Grimsby,1.20233463035019,0.67,1.34
N1,Groningen,1.57638888888889,1.14,0.99
P1,Guimaraes,1.14655172413793,1.43,0.39
F2,Guingamp,1.06878306878307,0.86,1.17
EC,Halifax,1.29411764705882,0.91,0.83
D2,Hamburg,1.31851851851852,1.15,0.88
SC0,Hamilton,1.22900763358779,0.87,1.96
D2,Hannover,1.31851851851852,0.46,0.85
E3,Harrogate,1.20233463035019,0.91,0.79
EC,Hartlepool,1.29411764705882,0.97,0.68
T1,Hatayspor,1.18888888888889,,
SC1,Hearts,1.33333333333333,0.66,0.66
N1,Heerenveen,1.57638888888889,0.92,1.07
D2,Heidenheim,1.31851851851852,0.53,1.42
N1,Heracles,1.57638888888889,0.46,1.3
D1,Hertha,1.51111111111111,0.99,0.99
SC0,Hibernian,1.22900763358779,1.2,0.53
D1,Hoffenheim,1.51111111111111,0.76,1.3
D2,"Holstein Kiel",1.31851851851852,1.06,0.35
E1,Huddersfield,1.02214022140221,0.84,1.6
SP1,Huesca,1.10169491525424,0.76,1.53
E2,Hull,1.30833333333333,1.47,0.87
I1,Inter,1.53254437869822,1.39,0.69
SC1,"Inverness C",1.33333333333333,0.79,0.92
E2,Ipswich,1.30833333333333,1.01,0.92
I1,Juventus,1.53254437869822,1.48,0.62
T1,Karagumruk,1.18888888888889,,
D2,Karlsruhe,1.31851851851852,,
T1,Kasimpasa,1.18888888888889,0.72,1.16
T1,Kayserispor,1.18888888888889,0.49,0.81
SC0,Kilmarnock,1.22900763358779,0.65,1.02
EC,"Kings Lynn",1.29411764705882,,
T1,Konyaspor,1.18888888888889,0.65,0.79
B1,Kortrijk,1.40555555555556,0.49,0.56
G1,Lamia,1.12727272727273,0.32,1.93
G1,Larisa,1.12727272727273,0.6,1.71
SP2,"Las Palmas",0.820175438596491,0.55,1.11
I1,Lazio,1.53254437869822,1.11,0.83
F2,"Le Havre",1.06878306878307,0.86,1.33
I2,Lecce,1.1377245508982,1.23,0.95
E0,Leeds,1.39411764705882,1.38,1.63
SP2,Leganes,0.820175438596491,0.61,0.87
E0,Leicester,1.39411764705882,1.63,0.73
F1,Lens,1.32978723404255,1.01,1.08
SP1,Levante,1.10169491525424,0.76,1.19
D1,Leverkusen,1.51111111111111,1.22,0.46
E3,"Leyton Orient",1.20233463035019,0.86,1.0
F1,Lille,1.32978723404255,1.16,0.62
E2,Lincoln,1.30833333333333,1.1,0.37
E0,Liverpool,1.39411764705882,1.3,1.06
SC0,Livingston,1.22900763358779,1.23,1.02
SP2,Logrones,0.820175438596491,,
F1,Lorient,1.32978723404255,0.63,1.46
SP2,Lugo,0.820175438596491,0.79,1.11
E1,Luton,1.02214022140221,0.38,0.99
F1,Lyon,1.32978723404255,1.18,0.7
EC,Maidenhead,1.29411764705882,0.68,0.85
D1,Mainz,1.51111111111111,0.7,1.57
SP2,Malaga,0.820175438596491,0.95,1.27
SP2,Mallorca,0.820175438596491,0.87,0.26
E0,"Man City",1.39411764705882,0.92,0.55
E0,"Man United",1.39411764705882,2.02,1.01
E3,Mansfield,1.20233463035019,1.0,0.86
P1,Maritimo,1.14655172413793,1.11,1.45
F1,Marseille,1.32978723404255,0.85,0.54
B1,Mechelen,1.40555555555556,,
F1,Metz,1.32978723404255,0.62,0.62
D1,Mgladbach,1.51111111111111,1.31,1.31
E1,Middlesbrough,1.02214022140221,0.91,0.98
I1,Milan,1.53254437869822,1.33,0.55
E1,Millwall,1.02214022140221,0.76,0.69
E2,"Milton Keynes Dons",1.30833333333333,0.8,0.93
SP2,Mirandes,0.820175438596491,,
F1,Monaco,1.32978723404255,1.01,1.08
F1,Montpellier,1.32978723404255,1.08,0.93
SC2,Montrose,1.1,1.43,1.17
I2,Monza,1.1377245508982,,
E3,Morecambe,1.20233463035019,1.02,1.24
P1,Moreirense,1.14655172413793,0.13,1.17
SC1,Morton,1.33333333333333,0.35,0.79
SC0,Motherwell,1.22900763358779,0.72,1.04
B1,Mouscron,1.40555555555556,0.4,1.15
P1,Nacional,1.14655172413793,0.31,0.78
F2,Nancy,1.06878306878307,0.62,0.94
F1,Nantes,1.32978723404255,0.63,1.18
I1,Napoli,1.53254437869822,1.04,0.62
E0,Newcastle,1.39411764705882,0.73,1.1
E3,"Newport County",1.20233463035019,1.06,0.73
F1,Nice,1.32978723404255,0.93,0.54
F1,Nimes,1.32978723404255,0.39,1.32
F2,Niort,1.06878306878307,0.78,1.65
E2,Northampton,1.30833333333333,0.9,1.55
E1,Norwich,1.02214022140221,1.22,0.92
E1,"Nottm Forest",1.02214022140221,0.42,1.05
EC,"Notts County",1.29411764705882,0.57,0.57
D2,Nurnberg,1.31851851851852,0.97,0.88
G1,"OFI Crete",1.12727272727273,0.9,1.0
E3,Oldham,1.20233463035019,1.39,1.24
G1,Olympiakos,1.12727272727273,1.91,0.5
B1,Oostende,1.40555555555556,0.51,0.76
SP1,Osasuna,1.10169491525424,0.59,1.19
D2,Osnabruck,1.31851851851852,,
B1,"Oud-Heverlee Leuven",1.40555555555556,,
SP2,Oviedo,0.820175438596491,0.78,0.78
E2,Oxford,1.30833333333333,1.07,1.13
G1,PAOK,1.12727272727273,1.2,0.8
N1,"PSV Eindhoven",1.57638888888889,1.3,0.76
P1,"Pacos Ferreira",1.14655172413793,,
D2,Paderborn,1.31851851851852,0.54,0.62
G1,Panathinaikos,1.12727272727273,0.9,0.8
G1,Panetolikos,1.12727272727273,0.2,0.8
F2,"Paris FC",1.06878306878307,1.13,0.87
F1,"Paris SG",1.32978723404255,1.39,0.46
I1,Parma,1.53254437869822,0.78,1.56
SC2,Partick,1.1,0.47,0.31
F2,"Pau FC",1.06878306878307,,
I2,Pescara,1.1377245508982,0.47,1.42
E2,Peterboro,1.30833333333333,0.67,0.8
SC2,Peterhead,1.1,0.78,1.04
I2,Pisa,1.1377245508982,,
E2,Plymouth,1.30833333333333,0.73,1.71
SP2,Ponferradina,0.820175438596491,,
I2,Pordenone,1.1377245508982,,
E3,"Port Vale",1.20233463035019,1.13,1.26
P1,Portimonense,1.14655172413793,0.44,1.33
P1,Porto,1.14655172413793,2.21,1.04
E2,Portsmouth,1.30833333333333,1.47,0.57
E1,Preston,1.02214022140221,1.53,1.37
E1,QPR,1.02214022140221,0.77,1.19
SC1,"Queen of Sth",1.33333333333333,0.61,1.23
SC3,"Queens Park",1.51111111111111,0.95,0.14
D1,"RB Leipzig",1.51111111111111,0.79,0.52
SC1,"Raith Rvs",1.33333333333333,1.16,0.74
SC0,Rangers,1.22900763358779,1.73,0.33
E1,Reading,1.02214022140221,1.26,1.12
SP1,"Real Madrid",1.10169491525424,1.14,0.76
D2,Regensburg,1.31851851851852,0.62,0.97
I2,Reggiana,1.1377245508982,,
I2,Reggina,1.1377245508982,,
F1,Reims,1.32978723404255,1.25,1.25
F1,Rennes,1.32978723404255,1.08,0.62
P1,"Rio Ave",1.14655172413793,0.33,1.0
T1,Rizespor,1.18888888888889,0.57,1.22
E2,Rochdale,1.30833333333333,1.47,1.39
F2,Rodez,1.06878306878307,,
I1,Roma,1.53254437869822,1.25,1.09
SC0,"Ross County",1.22900763358779,0.53,1.33
E1,Rotherham,1.02214022140221,0.59,1.43
SP2,Sabadell,0.820175438596491,,
I2,Salernitana,1.1377245508982,0.66,1.04
E3,Salford,1.20233463035019,0.73,0.66
I1,Sampdoria,1.53254437869822,0.76,1.04
D2,Sandhausen,1.31851851851852,0.35,1.5
P1,"Santa Clara",1.14655172413793,0.89,0.89
I1,Sassuolo,1.53254437869822,1.25,1.04
D1,"Schalke 04",1.51111111111111,0.44,2.27
E3,Scunthorpe,1.20233463035019,0.8,1.0
SP1,Sevilla,1.10169491525424,0.76,0.68
E0,"Sheffield United",1.39411764705882,0.33,1.38
E1,"Sheffield Weds",1.02214022140221,0.46,1.14
E2,Shrewsbury,1.30833333333333,0.67,0.8
T1,Sivasspor,1.18888888888889,0.89,0.81
F2,Sochaux,1.06878306878307,0.69,0.35
SP1,Sociedad,1.10169491525424,1.3,0.69
EC,Solihull,1.29411764705882,0.57,1.13
E0,Southampton,1.39411764705882,1.1,0.92
E3,Southend,1.20233463035019,0.22,1.24
P1,"Sp Braga",1.14655172413793,1.56,1.11
SP2,"Sp Gijon",0.820175438596491,0.52,0.78
P1,"Sp Lisbon",1.14655172413793,1.78,0.44
I2,Spal,1.1377245508982,0.67,0.84
N1,"Sparta Rotterdam",1.57638888888889,,
I1,Spezia,1.53254437869822,1.01,1.09
F1,"St Etienne",1.32978723404255,0.77,1.25
SC0,"St Johnstone",1.22900763358779,1.13,1.46
SC0,"St Mirren",1.22900763358779,0.64,0.8
D2,"St Pauli",1.31851851851852,0.7,1.08
B1,"St Truiden",1.40555555555556,0.82,1.39
B1,Standard,1.40555555555556,0.7,0.7
SC3,Stenhousemuir,1.51111111111111,0.85,1.19
E3,Stevenage,1.20233463035019,0.44,1.02
SC3,Stirling,1.51111111111111,1.77,0.82
EC,Stockport,1.29411764705882,,
E1,Stoke,1.02214022140221,0.69,0.38
SC3,Stranraer,1.51111111111111,1.36,0.68
F1,Strasbourg,1.32978723404255,1.18,1.25
D1,Stuttgart,1.51111111111111,1.6,0.69
E2,Sunderland,1.30833333333333,1.14,0.33
EC,Sutton,1.29411764705882,1.02,1.02
E1,Swansea,1.02214022140221,0.92,0.61
E2,Swindon,1.30833333333333,1.1,1.83
SP2,Tenerife,0.820175438596491,0.61,1.22
P1,Tondela,1.14655172413793,0.65,1.95
I1,Torino,1.53254437869822,0.9,1.18
EC,Torquay,1.29411764705882,,
E0,Tottenham,1.39411764705882,1.47,0.64
F2,Toulouse,1.06878306878307,1.56,0.87
T1,Trabzonspor,1.18888888888889,0.57,0.49
E3,Tranmere,1.20233463035019,0.8,1.06
F2,Troyes,1.06878306878307,0.94,0.7
N1,Twente,1.57638888888889,,
I1,Udinese,1.53254437869822,0.94,1.09
D1,"Union Berlin",1.51111111111111,1.05,0.79
N1,Utrecht,1.57638888888889,0.61,0.92
N1,"VVV Venlo",1.57638888888889,1.22,1.37
SP1,Valencia,1.10169491525424,0.85,1.02
F2,Valenciennes,1.06878306878307,1.04,1.04
SP1,Valladolid,1.10169491525424,0.59,0.93
SP2,Vallecano,0.820175438596491,0.44,0.87
I2,Venezia,1.1377245508982,0.95,0.76
I1,Verona,1.53254437869822,0.78,0.55
I2,Vicenza,1.1377245508982,,
SP1,Villarreal,1.10169491525424,1.02,0.85
I2,"Virtus Entella",1.1377245508982,,
N1,Vitesse,1.57638888888889,0.92,0.69
G1,"Volos NFC",1.12727272727273,,
N1,Waalwijk,1.57638888888889,,
B1,Waasland-Beveren,1.40555555555556,0.92,1.33
E3,Walsall,1.20233463035019,1.02,1.17
B1,Waregem,1.40555555555556,1.06,0.92
E1,Watford,1.02214022140221,0.38,0.61
EC,Wealdstone,1.29411764705882,,
D1,"Werder Bremen",1.51111111111111,0.84,0.92
E0,"West Brom",1.39411764705882,0.55,1.37
E0,"West Ham",1.39411764705882,0.98,0.9
EC,Weymouth,1.29411764705882,,
E2,Wigan,1.30833333333333,0.66,1.17
N1,"Willem II",1.57638888888889,0.53,1.3
EC,Woking,1.29411764705882,,
D1,Wolfsburg,1.51111111111111,0.76,0.84
E0,Wolves,1.39411764705882,0.73,1.3
EC,Wrexham,1.29411764705882,0.85,1.1
D2,"Wurzburger Kickers",1.31851851851852,,
E1,Wycombe,1.02214022140221,0.61,1.6
T1,"Yeni Malatyaspor",1.18888888888889,0.65,1.08
EC,Yeovil,1.29411764705882,0.97,1.07
SP2,Zaragoza,0.820175438596491,0.17,0.96
N1,Zwolle,1.57638888888889,0.69,1.22
